name,category,maker,length_cm,id_inch,od_fr,notes,proximal_id_inch,proximal_od_inch,distal_id_inch,distal_od_inch,hub_length_cm,hub_length_source,proximal_non_effective_length_cm,proximal_length_source,proximal_length_note
6F Launcher (100 cm),ガイディング,Medtronic,100,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
7F Launcher (90 cm),ガイディング,Medtronic,90,0.081,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.081,,,,,,
8F Launcher (90 cm),ガイディング,Medtronic,90,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
5F Envoy (90 cm),ガイディング,Johnson & Johnson,90,0.056,5,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.0656168,0.056,,,,,,
5F Envoy (100 cm),ガイディング,Johnson & Johnson,100,0.056,5,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.0656168,0.056,,,,,,
6F Envoy (90 cm),ガイディング,Johnson & Johnson,90,0.07,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.07,,,,,,
6F Envoy (100 cm),ガイディング,Johnson & Johnson,100,0.07,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.07,,,,,,
7F Envoy (90 cm),ガイディング,Johnson & Johnson,90,0.078,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.078,,,,,,
7F Envoy (100 cm),ガイディング,Johnson & Johnson,100,0.078,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.078,,,,,,
Envoy XB (90 cm),ガイディング,Johnson & Johnson,90,0.07,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.07,,,,,,
Envoy XB (100 cm),ガイディング,Johnson & Johnson,100,0.07,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.07,,,,,,
6F Fubuki (80 cm),ガイディング,Asahi Intecc,80,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
6F Fubuki (90 cm),ガイディング,Asahi Intecc,90,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
6F Fubuki (100 cm),ガイディング,Asahi Intecc,100,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
6F Fubuki (110 cm),ガイディング,Asahi Intecc,110,0.071,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.071,,,,,,
7F Fubuki (80 cm),ガイディング,Asahi Intecc,80,0.081,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.081,,,,,,
7F Fubuki (90 cm),ガイディング,Asahi Intecc,90,0.081,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.081,,,,,,
7F Fubuki (100 cm),ガイディング,Asahi Intecc,100,0.081,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.081,,,,,,
7F Fubuki (110 cm),ガイディング,Asahi Intecc,110,0.081,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.081,,,,,,
8F Fubuki (80 cm),ガイディング,Asahi Intecc,80,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
8F Fubuki (90 cm),ガイディング,Asahi Intecc,90,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
8F Fubuki (100 cm),ガイディング,Asahi Intecc,100,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
8F Fubuki (110 cm),ガイディング,Asahi Intecc,110,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
Fubuki XF (80 cm),ガイディング,Asahi Intecc,80,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
Fubuki XF (90 cm),ガイディング,Asahi Intecc,90,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
Fubuki XF (100 cm),ガイディング,Asahi Intecc,100,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
Fubuki XF (110 cm),ガイディング,Asahi Intecc,110,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
6F Slim Guide (90 cm),ガイディング,Medikit,90,0.072,6.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.08005249,0.072,,,,,,
6F Slim Guide (100 cm),ガイディング,Medikit,100,0.072,6.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.08005249,0.072,,,,,,
7F Slim Guide (90 cm),ガイディング,Medikit,90,0.08,7.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09448819,0.08,,,,,,
8F Slim Guide (78 cm),ガイディング,Medikit,78,0.089,8.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10629921,0.089,,,,,,
8F Slim Guide (90 cm),ガイディング,Medikit,90,0.089,8.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10629921,0.089,,,,,,
5F Guider Softip (100 cm),ガイディング,Stryker,100,0.053,5,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.0656168,0.053,,2,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N5（cm、実測値を含む）,,,
6F Guider Softip (90 cm),ガイディング,Stryker,90,0.064,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.064,,2,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N6（cm、実測値を含む）,,,
6F Guider Softip (100 cm),ガイディング,Stryker,100,0.064,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.064,,2,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N6（cm、実測値を含む）,,,
7F Guider Softip (90 cm),ガイディング,Stryker,90,0.073,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.073,,2,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N7（cm、実測値を含む）,,,
7F Guider Softip (100 cm),ガイディング,Stryker,100,0.073,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.073,,2,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N7（cm、実測値を含む）,,,
8F Guider Softip (90 cm),ガイディング,Stryker,90,0.086,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.086,,2,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N8（cm、実測値を含む）,,,
8F Guider Softip (100 cm),ガイディング,Stryker,100,0.086,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.086,,2,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N8（cm、実測値を含む）,,,
Neuro EBU,ガイディング,SILUX,83,0.09,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.09,,,,,,
RIST071 (95 cm),ガイディング,Medtronic,95,0.071,6.6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.08661417,0.071,,,,,,
RIST071 (100 cm),ガイディング,Medtronic,100,0.071,6.6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.08661417,0.071,,,,,,
RIST071 (105 cm),ガイディング,Medtronic,105,0.071,6.6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.08661417,0.071,,,,,,
RIST079 (95 cm),ガイディング,Medtronic,95,0.079,7.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09317585,0.079,,,,,,
RIST079 (100 cm),ガイディング,Medtronic,100,0.079,7.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09317585,0.079,,,,,,
RIST079 (105 cm),ガイディング,Medtronic,105,0.079,7.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09317585,0.079,,,,,,
Carnelian HF-S (105 cm),中間,Tokai Medical,105,0.027,2.8,2026-09-24ユーザー指定: 部位別径を125/135 cmに合わせて補完。近位内径は未登録。,,0.03674541,0.027,0.03412073,,,,,
Carnelian HF-S (125 cm),中間,Tokai Medical,125,0.027,2.8,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.03674541,0.027,0.03412073,,,,,
Carnelian HF-S (135 cm),中間,Tokai Medical,135,0.027,2.8,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.03674541,0.027,0.03412073,,,,,
Guidepost (120 cm),中間,Tokai Medical,120,0.035,3.4,,0.039,0.04488189,0.035,0.04251969,10,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N70（cm、実測値を含む）,,,
Guidepost (130 cm),中間,Tokai Medical,130,0.035,3.4,,0.039,0.04488189,0.035,0.04251969,10,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N70（cm、実測値を含む）,,,
TACTICS (120 cm),中間,Technocrat,120,0.035,3.4,,0.035,0.04488189,0.035,0.04212598,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N62（cm、実測値を含む）,8,https://www.technocrat-corp.com/wp/wp-content/uploads/2025/08/catalog-TACTICS.pdf,TACTICS メーカーカタログ、p.2、PDF内に発行年月の記載なし（メーカー現行製品ページのリンクから取得）。全長128 cm − 有効長120 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
TACTICS (125 cm),中間,Technocrat,125,0.035,3.4,,0.035,0.04488189,0.035,0.04212598,,,,,
TACTICS (130 cm),中間,Technocrat,130,0.035,3.4,,0.035,0.04488189,0.035,0.04212598,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N62（cm、実測値を含む）,8,https://www.technocrat-corp.com/wp/wp-content/uploads/2025/08/catalog-TACTICS.pdf,TACTICS メーカーカタログ、p.2、PDF内に発行年月の記載なし（メーカー現行製品ページのリンクから取得）。全長138 cm − 有効長130 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
TACTICS (140 cm),中間,Technocrat,140,0.035,3.4,,0.035,0.04488189,0.035,0.04212598,,,,,
TACTICS (150 cm),中間,Technocrat,150,0.035,3.4,,0.035,0.04488189,0.035,0.04212598,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N62（cm、実測値を含む）,8,https://www.technocrat-corp.com/wp/wp-content/uploads/2025/08/catalog-TACTICS.pdf,TACTICS メーカーカタログ、p.2、PDF内に発行年月の記載なし（メーカー現行製品ページのリンクから取得）。全長158 cm − 有効長150 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
TACTICS Plus (120 cm),中間,Technocrat,120,0.04,3.4,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.045,0.04,0.042,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N63（cm、実測値を含む）,8,https://technocrat-corp.com/wp/wp-content/themes/technocrat/pdf/catalog-TACTICS-PLUS.pdf,TACTICS PLUS メーカーカタログ、p.2、REF No.24050300。全長128 cm − 有効長120 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
TACTICS Plus (125 cm),中間,Technocrat,125,0.04,3.4,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.045,0.04,0.042,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N63（cm、実測値を含む）,8,https://technocrat-corp.com/wp/wp-content/themes/technocrat/pdf/catalog-TACTICS-PLUS.pdf,TACTICS PLUS メーカーカタログ、p.2、REF No.24050300。全長133 cm − 有効長125 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
TACTICS Plus (130 cm),中間,Technocrat,130,0.04,3.4,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.045,0.04,0.042,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N63（cm、実測値を含む）,8,https://technocrat-corp.com/wp/wp-content/themes/technocrat/pdf/catalog-TACTICS-PLUS.pdf,TACTICS PLUS メーカーカタログ、p.2、REF No.24050300。全長138 cm − 有効長130 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
TACTICS Plus (140 cm),中間,Technocrat,140,0.04,3.4,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.045,0.04,0.042,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N63（cm、実測値を含む）,8,https://technocrat-corp.com/wp/wp-content/themes/technocrat/pdf/catalog-TACTICS-PLUS.pdf,TACTICS PLUS メーカーカタログ、p.2、REF No.24050300。全長148 cm − 有効長140 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
TACTICS Plus (150 cm),中間,Technocrat,150,0.04,3.4,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.045,0.04,0.042,8,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N63（cm、実測値を含む）,8,https://technocrat-corp.com/wp/wp-content/themes/technocrat/pdf/catalog-TACTICS-PLUS.pdf,TACTICS PLUS メーカーカタログ、p.2、REF No.24050300。全長158 cm − 有効長150 cm = 8 cm（算出）。有効長の手元端からハブ接続端まで。ストレインリリーフとクリアハブを含む。
Phenom Plus,中間,Medtronic,120,0.0445,4.7,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.061,0.0445,0.055,,,,,
4.2F Fubuki,中間,Asahi Intecc,120,0.043,4.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.05511811,0.043,,,,,,
Navien058 (115 cm),中間,Medtronic,115,0.058,5.4,,0.058,0.07,0.058,0.07,,,,,
Navien058 (125 cm),中間,Medtronic,125,0.058,5.4,,0.058,0.07,0.058,0.07,,,,,
Navien072 (115 cm),中間,Medtronic,115,0.072,6.5,,0.072,0.084,0.072,0.084,,,,,
Navien072 (125 cm),中間,Medtronic,125,0.072,6.5,,0.072,0.084,0.072,0.084,,,,,
5F Sofia Select (115 cm),中間,Terumo,115,0.055,5.2,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.068,0.055,0.067,,,,,
5F Sofia Select (125 cm),中間,Terumo,125,0.055,5.2,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.068,0.055,0.067,,,,,
6F Sofia Select (115 cm),中間,Terumo,115,0.07,6.3,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.0825,0.07,0.0815,,,,,
6F Sofia Select (125 cm),中間,Terumo,125,0.07,6.3,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.0825,0.07,0.0815,,,,,
Sofia EX,中間,Terumo,115,0.058,5.4,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.071,0.058,0.068,,,,,
ACS Catalyst5,中間,Stryker,115,0.058,5.6,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.073,0.058,0.069,5,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N11（cm、実測値を含む）,,,
ACS Vecta71 (115 cm),中間,Stryker,115,0.071,6.5,,,,,,4,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N12（cm、実測値を含む）,,,
ACS Vecta71 (125 cm),中間,Stryker,125,0.071,6.5,,,,,,4,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N12（cm、実測値を含む）,,,
ACS Vecta74 (115 cm),中間,Stryker,115,0.074,6.6,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.087,0.074,0.083,,,,,
ACS Vecta74 (125 cm),中間,Stryker,125,0.074,6.6,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.087,0.074,0.083,,,,,
Cerulean DD6 (103 cm),中間,Medikit,103,0.072,6.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.08136483,0.072,,,,,,
Cerulean DD6 (113 cm),中間,Medikit,113,0.072,6.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.08136483,0.072,,,,5,https://www.ec-pro.co.jp/23hokkaido-jsnet/exhibition/Medikit/CeruleanDD6.pdf,Cerulean DD6 メディキットカタログ（学会サイト掲載）、p.2、2012年10月。現行販売仕様の保証ではない。全長118 cm − 有効長113 cm = 5 cm（算出）。有効長の手元端からカテーテルの手元端までの非有効部。図では透明カテーテルハブ側に相当。ハブ単体寸法としての明記はない。
4F Cerulean (105 cm),中間,Medikit,105,0.04,4.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.05511811,0.04,,,,,,
4F Cerulean (113 cm),中間,Medikit,113,0.04,4.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.05511811,0.04,,,,,,
4F Cerulean (118 cm),中間,Medikit,118,0.04,4.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.05511811,0.04,,,,,,
4F Cerulean (123 cm),中間,Medikit,123,0.04,4.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.05511811,0.04,,,,,,
4F Cerulean (133 cm),中間,Medikit,133,0.04,4.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.05511811,0.04,,,,,,
5F Cerulean (113 cm),中間,Medikit,113,0.05,5.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.06692913,0.05,,,,,,
5F Cerulean (118 cm),中間,Medikit,118,0.05,5.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.06692913,0.05,,,,,,
5F Cerulean (123 cm),中間,Medikit,123,0.05,5.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.06692913,0.05,,,,,,
5F Cerulean (133 cm),中間,Medikit,133,0.05,5.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.06692913,0.05,,,,,,
Excelsior SL-10,マイクロ,Stryker,150,0.0165,2.4,,0.0165,0.03110236,0.0165,0.02204724,6.3,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N15（cm、実測値を含む）,,,
Excelsior 1018,マイクロ,Stryker,150,0.019,2.4,,0.019,0.03425197,0.019,0.02637795,6.3,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N16（cm、実測値を含む）,,,
Excelsior XT-27,マイクロ,Stryker,150,0.027,2.9,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.03805774,0.027,0.036,6.3,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N18（cm、実測値を含む）,,,
Echelon 10,マイクロ,Medtronic,147,0.017,2.1,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.02755906,0.017,0.02230971,,,,,
Phenom 17,マイクロ,Medtronic,150,0.017,2.2,,0.017,0.029,0.017,0.024,,,,,
Phenom 21,マイクロ,Medtronic,160,0.021,2.6,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.034,0.021,0.03,,,,,
Phenom 27 (150 cm),マイクロ,Medtronic,150,0.027,3.1,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.04,0.027,0.036,,,,,
Phenom 27 (160 cm),マイクロ,Medtronic,160,0.021,3.1,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.04068241,0.027,0.036,,,,,
Marathon,マイクロ,Medtronic,165,0.012,2.7,,0.015,0.03543307,0.013,0.01968504,,,5,https://www.info.pmda.go.jp/downfiles/md/PDF/530366/530366_21800BZY10005000_A_04_04.pdf,マラソン フローダイレクト マイクロカテーテル 電子添文、p.1、2021年4月 第3版 PI-NVA-0005CD。全長170 cm − 有効長165 cm = 5 cm（算出）。有効長Bの手元端から全長Aの手元端まで。ストレインレリーフ、アウターストレインレリーフ、ハブを含む。
Headway Duo,マイクロ,Terumo,156,0.0165,2.1,,0.0165,0.02755906,0.0165,0.02086614,,,,,
Headway 17,マイクロ,Terumo,150,0.017,2.4,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.03149606,0.017,0.02204724,,,,,
Headway Plus 21,マイクロ,Terumo,156,0.021,2.5,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.03307087,0.021,0.02637795,,,,,
Headway Plus 27,マイクロ,Terumo,156,0.027,3.1,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.04055118,0.027,0.03385827,,,,,
Scepter C,マイクロ,Terumo,150,0.0165,2.8,,0.0165,0.03700787,0.0165,0.02795276,,,,,
Scepter XC,マイクロ,Terumo,150,0.0165,2.8,,0.0165,0.03700787,0.0165,0.02795276,,,,,
Carnelian MARVEL Non Taper,マイクロ,Tokai Medical,160,0.017,1.9,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.02493438,0.017,0.02493438,,,,,
Prowler Select Plus (150 cm),マイクロ,Johnson & Johnson,150,0.021,2.8,,0.021,0.03674541,0.021,0.03018373,,,,,
Prowler Select Plus (160 cm),マイクロ,Johnson & Johnson,160,0.021,2.8,,0.021,0.03674541,0.021,0.03018373,,,,,
SHOURYU,マイクロ,Kaneka,150,0.01,2.7,,,0.03543307,,0.02874016,,,,,
Transform C,マイクロ,Stryker,150,0.014,2.8,,,,,,,,,,
Transform SC,マイクロ,Stryker,150,0.014,2.8,,,,,,,,,,
Axcelguide Radix 5.5 (88 cm),ガイディング,Medikit,88,0.087,7.6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09973753,0.087,,,,,,
Axcelguide Radix 5.5 (93 cm),ガイディング,Medikit,93,0.087,7.6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09973753,0.087,,,,,,
Axcelguide Radix 5.5 (98 cm),ガイディング,Medikit,98,0.087,7.6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09973753,0.087,,,,,,
Neuro Compass (80 cm),ガイディング,Technocrat,80,0.095,8.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10761155,0.095,,,,,,
Neuro Compass (90 cm),ガイディング,Technocrat,90,0.095,8.2,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10761155,0.095,,,,,,
Defrictor Nano,マイクロ,Medicos Hirata,165,0.011,2.2,,0.014,0.028,0.011,0.017,7,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N77（cm、実測値を含む）,,,
Defrictor Zero (120 cm),中間,Medicos Hirata,120,0.035,3.4,,,,,,,,,,
Defrictor Zero (130 cm),中間,Medicos Hirata,130,0.035,3.4,,,,,,,,,,
Defrictor Zero (165 cm),マイクロ,Medicos Hirata,165,0.035,3.4,,,,,,,,,,
Defrictor Bull,マイクロ,Medicos Hirata,165,0.013,2.4,,0.015,0.031,0.013,0.02,7,アクセス製品スペック一覧（Stryker）.xlsx / スペック表!N78（cm、実測値を含む）,,,
VIA21,マイクロ,Terumo,154,0.021,2.7,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.03582677,0.021,0.03307087,,,,,
VIA27,マイクロ,Terumo,154,0.027,3.2,部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.04212598,0.027,0.03897638,,,,,
VIA33,マイクロ,Terumo,154,0.033,3.8,,,,,,,,,,
6F Optimo (100cm),ガイディング,Tokai Medical,100,0.058,6,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.07874016,0.058,,,,,,
7F Optimo (95cm),ガイディング,Tokai Medical,95,0.071,7,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.09186352,0.071,,,,,,
8F Optimo (90cm),ガイディング,Tokai Medical,90,0.087,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.087,,,,,,
8F Optimo (95cm),ガイディング,Tokai Medical,95,0.087,8,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.10498688,0.087,,,,,,
9F Optimo (90cm),ガイディング,Tokai Medical,90,0.093,9,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.11811024,0.093,,,,,,
9F Optimo (95cm),ガイディング,Tokai Medical,95,0.093,9,部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.11811024,0.093,,,,,,
VIA17,マイクロ,Terumo,154,0.0175,2.43,MV-VIA1701/1745/1790（ストレート/45度/90度）。手元外径0.81mm（公称2.4Fr）からod_fr=2.43へ換算。出典: https://medical.terumo.co.jp/sites/default/files/assets/equipment/me180/pdf/26T043.pdf 部位未区別の内径→遠位内径（ユーザー指定ルール）。,,0.03188976,0.0175,0.02913386,,,,,
SAYA 86 (80 cm),ガイディング,ASAHI INTECC,80,0.086,7.3914,SAYA 86 Radial Access Guide Catheter。FDA公開仕様、Straight/Angle。外径0.097inch（2.46mm、公称7Fr）。od_frは実寸換算0.097×76.2=7.3914。Dilatorの径は転用しない。出典: https://www.accessdata.fda.gov/cdrh_docs/pdf25/K254178.pdf 部位未区別の外径→近位外径・内径→遠位内径（ユーザー指定ルール）。,,0.097,0.086,,,,,,
